raw_token,n_products,canonical,action,reason
lily of the valley,2663,lily of the valley,KEEP,"REVIEW: word-containment overlap with ['lily'] -- not auto-merged, verify manually"
violet,2616,violet,KEEP,"REVIEW: word-containment overlap with ['african violet', 'black violet', 'french violet', 'italian violet', 'parma violet'] (+7 more) -- not auto-merged, verify manually"
grapefruit,2532,grapefruit,KEEP,"REVIEW: word-containment overlap with ['blood grapefruit', 'chinese grapefruit', 'florida grapefruit', 'grapefruit blossom', 'grapefruit leaf'] (+3 more) -- not auto-merged, verify manually"
ylang ylang,2247,ylang ylang,KEEP,
benzoin,2171,benzoin,KEEP,"REVIEW: word-containment overlap with ['siam benzoin'] -- not auto-merged, verify manually"
white musk,2088,white musk,KEEP,"REVIEW: word-containment overlap with ['musk'] -- not auto-merged, verify manually"
saffron,2068,saffron,KEEP,"REVIEW: word-containment overlap with ['indian saffron'] -- not auto-merged, verify manually"
geranium,2065,geranium,KEEP,"REVIEW: word-containment overlap with ['african geranium', 'algerian geranium', 'bourbon geranium', 'geranium macrorrhizum', 'himalayan geranium'] (+1 more) -- not auto-merged, verify manually"
cinnamon,2048,cinnamon,KEEP,"REVIEW: fuzzy-similar to 'cinammon' (sim=0.88); REVIEW: word-containment overlap with ['ceylon cinnamon', 'chinese cinnamon wood', 'cinnamon flower', 'cinnamon leaf'] -- not auto-merged, verify manually"
incense,2025,incense,KEEP,"REVIEW: word-containment overlap with ['hinoki incense', 'kyara incense', 'moroccan incense'] -- not auto-merged, verify manually"
ginger,2018,ginger,KEEP,"REVIEW: word-containment overlap with ['african ginger', 'candied ginger', 'ginger flower', 'ginger leaf', 'gingerbread'] (+4 more) -- not auto-merged, verify manually"
oakmoss,2011,oakmoss,KEEP,"REVIEW: word-containment overlap with ['serbian oakmoss'] -- not auto-merged, verify manually"
labdanum,2005,labdanum,KEEP,"REVIEW: word-containment overlap with ['french labdanum', 'spanish labdanum'] -- not auto-merged, verify manually"
peach,1997,peach,KEEP,"REVIEW: word-containment overlap with ['peach blossom', 'peach cream', 'quandong desert peach', 'red peach', 'white peach'] (+1 more) -- not auto-merged, verify manually"
agarwood,1909,agarwood,KEEP,
freesia,1870,freesia,KEEP,"REVIEW: word-containment overlap with ['african freesia petals', 'freesia petals', 'pink freesia', 'red freesia', 'yellow freesia'] -- not auto-merged, verify manually"
pear,1804,pear,KEEP,"REVIEW: fuzzy-similar to 'pea' (sim=0.86); REVIEW: word-containment overlap with ['green pear', 'nashi pear', 'pear blossom', 'pear ice cream', 'pear juice'] (+5 more) -- not auto-merged, verify manually"
neroli,1760,neroli,KEEP,"REVIEW: word-containment overlap with ['neroli essence', 'tunisian neroli'] -- not auto-merged, verify manually"
peony,1752,peony,KEEP,"REVIEW: word-containment overlap with ['chinese peony', 'chinese pink peony', 'pink peony', 'red peony', 'water peony'] (+1 more) -- not auto-merged, verify manually"
orange,1726,orange,KEEP,"REVIEW: word-containment overlap with ['african orange flower', 'bitter orange', 'bitter orange blossom', 'blood orange', 'brazilian orange'] (+27 more) -- not auto-merged, verify manually"
nutmeg,1708,nutmeg,KEEP,"REVIEW: word-containment overlap with ['indonesian nutmeg', 'nutmeg flower'] -- not auto-merged, verify manually"
black currant,1683,black currant,KEEP,
woody notes,1643,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
raspberry,1635,raspberry,KEEP,"REVIEW: word-containment overlap with ['raspberry bloom', 'raspberry blossom', 'raspberry leaf'] -- not auto-merged, verify manually"
tuberose,1586,tuberose,KEEP,"REVIEW: word-containment overlap with ['egyptian tuberose', 'indian tuberose'] -- not auto-merged, verify manually"
magnolia,1492,magnolia,KEEP,"REVIEW: fuzzy-similar to 'magnolan' (sim=0.88); REVIEW: word-containment overlap with ['chinese magnolia', 'magnolia leaf', 'magnolia petals', 'saucer magnolia', 'white magnolia'] -- not auto-merged, verify manually"
ambergris,1473,amber,MERGE,compound substring containment
black pepper,1412,black pepper,KEEP,"REVIEW: word-containment overlap with ['pepper'] -- not auto-merged, verify manually"
heliotrope,1374,heliotrope,KEEP,"REVIEW: word-containment overlap with ['water heliotrope', 'white heliotrope'] -- not auto-merged, verify manually"
apple,1253,apple,KEEP,"REVIEW: word-containment overlap with ['american apple', 'apple blossom', 'apple juice', 'apple leaf', 'apple licor'] (+16 more) -- not auto-merged, verify manually"
caramel,1240,caramel,KEEP,"REVIEW: word-containment overlap with ['salted caramel', 'salted caramel fudge'] -- not auto-merged, verify manually"
pepper,1224,pepper,KEEP,"REVIEW: word-containment overlap with ['bengal pepper', 'betel pepper', 'black and pink pepper', 'black pepper', 'bourbon pepper'] (+22 more) -- not auto-merged, verify manually"
guaiac wood,1215,guaiac wood,KEEP,
mint,1208,mint,KEEP,"REVIEW: word-containment overlap with ['apple mint', 'mint tea', 'water mint'] -- not auto-merged, verify manually"
woodsy notes,1175,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
plum,1164,plum,KEEP,"REVIEW: word-containment overlap with ['chinese plum', 'damask plum', 'dark plum wu mei', 'dried plum', 'green plum'] (+11 more) -- not auto-merged, verify manually"
tobacco,1162,tobacco,KEEP,"REVIEW: word-containment overlap with ['blonde tobacco', 'bulgarian light tobacco', 'tobacco blossom', 'tobacco leaf', 'white tobacco'] -- not auto-merged, verify manually"
gardenia,1153,gardenia,KEEP,"REVIEW: word-containment overlap with ['black gardenia', 'californian gardenia', 'japanese gardenia', 'tahitian gardenia'] -- not auto-merged, verify manually"
coriander,1097,coriander,KEEP,"REVIEW: word-containment overlap with ['coriander extract', 'coriander iandaldehydes', 'coriander leaf', 'green coriander'] -- not auto-merged, verify manually"
citruses,1081,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
moss,1064,moss,KEEP,"REVIEW: word-containment overlap with ['oak moss'] -- not auto-merged, verify manually"
virginia cedar,1051,virginia cedar,KEEP,"REVIEW: word-containment overlap with ['cedar'] -- not auto-merged, verify manually"
violet leaf,1038,violet,MERGE,compound substring containment
green notes,1030,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
jasmine sambac,987,jasmine,MERGE,compound substring containment
pineapple,975,pineapple,KEEP,"REVIEW: word-containment overlap with ['pineapple blossom', 'pineapple leaf', 'sugarloaf pineapple'] -- not auto-merged, verify manually"
coconut,962,coconut,KEEP,"REVIEW: word-containment overlap with ['coconut blossom', 'coconut leaf', 'coconut milk', 'coconut nectar', 'coconut pie'] (+5 more) -- not auto-merged, verify manually"
lime,959,lime,KEEP,"REVIEW: word-containment overlap with ['finger lime', 'kaffir lime', 'lime blossom', 'lime peel', 'palestinian sweet lime'] -- not auto-merged, verify manually"
sage,953,sage,KEEP,"REVIEW: word-containment overlap with ['blue sage', 'clary sage', 'egyptian sage', 'south african sage'] -- not auto-merged, verify manually"
honey,934,honey,KEEP,"REVIEW: word-containment overlap with ['black locust honey', 'fig honey', 'honeybush or cyclopia', 'honeydew melon', 'honeysuckle'] (+4 more) -- not auto-merged, verify manually"
olibanum,911,olibanum,KEEP,"REVIEW: word-containment overlap with ['olibanum sacra resin green'] -- not auto-merged, verify manually"
ambroxan,908,ambroxan,KEEP,
osmanthus,897,osmanthus,KEEP,"REVIEW: word-containment overlap with ['chinese osmanthus', 'japanese osmanthus'] -- not auto-merged, verify manually"
cashmere wood,874,cashmere wood,KEEP,"REVIEW: fuzzy-similar to 'cashmirwood' (sim=0.83) -- not auto-merged, verify manually"
orchid,861,orchid,KEEP,"REVIEW: word-containment overlap with ['black orchid', 'butterfly orchid', 'corall orchid', 'diamond orchid', 'green orchid'] (+6 more) -- not auto-merged, verify manually"
lily,800,lily,KEEP,"REVIEW: word-containment overlap with ['amazon lily', 'arum lily', 'asian lily', 'azteca lily', 'calla lily'] (+18 more) -- not auto-merged, verify manually"
almond,781,almond,KEEP,"REVIEW: word-containment overlap with ['almond blossom', 'almond cream', 'almond milk', 'almond tree', 'almond wood'] (+6 more) -- not auto-merged, verify manually"
vanille,772,vanille,KEEP,"REVIEW: fuzzy-similar to 'vanilla' (sim=0.86) -- not auto-merged, verify manually"
tangerine,770,tangerine,KEEP,"REVIEW: word-containment overlap with ['green tangerine', 'italian tangerine', 'tangerine blossom', 'tangerine zest'] -- not auto-merged, verify manually"
petitgrain,769,petitgrain,KEEP,"REVIEW: word-containment overlap with ['petitgrain paraguay'] -- not auto-merged, verify manually"
basil,759,basil,KEEP,"REVIEW: word-containment overlap with ['basil leaf', 'black basil', 'israeli basil'] -- not auto-merged, verify manually"
cashmeran,759,cashmeran,KEEP,
rosemary,748,rosemary,KEEP,
cypress,729,cypress,KEEP,"REVIEW: word-containment overlap with ['australian blue cypress', 'cypress leaf', 'italian cypress', 'japanese cypress', 'tuscan cypress'] -- not auto-merged, verify manually"
clary sage,722,clary sage,KEEP,"REVIEW: word-containment overlap with ['sage'] -- not auto-merged, verify manually"
coffee,714,coffee,KEEP,"REVIEW: word-containment overlap with ['coffee blossom', 'coffee co2', 'coffee liqueur', 'coffee tree', 'columbian coffee'] (+3 more) -- not auto-merged, verify manually"
ambrette,709,ambrette,KEEP,"REVIEW: fuzzy-similar to 'ambretone' (sim=0.82) -- not auto-merged, verify manually"
myrrh,701,myrrh,KEEP,"REVIEW: fuzzy-similar to 'myrhh' (sim=0.80); REVIEW: word-containment overlap with ['indonesian myrrh', 'myrrh oil', 'red myrrh'] -- not auto-merged, verify manually"
galbanum,693,galbanum,KEEP,"REVIEW: word-containment overlap with ['galbanum leaf', 'iran galbanum'] -- not auto-merged, verify manually"
orris,689,orris,KEEP,"REVIEW: word-containment overlap with ['italian orris root', 'orris root'] -- not auto-merged, verify manually"
aldehydes,673,aldehydes,KEEP,
praline,654,praline,KEEP,
rum,642,rum,KEEP,"REVIEW: word-containment overlap with ['buttered rum', 'coconut rum', 'white rum'] -- not auto-merged, verify manually"
floral notes,639,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
bulgarian rose,637,bulgarian rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
orris root,629,orris,MERGE,compound substring containment
spices,625,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
mimosa,612,mimosa,KEEP,"REVIEW: word-containment overlap with ['indian mimosa', 'mimosa absolute', 'mimosa leaves', 'mimosa petals', 'moroccan mimosa'] (+2 more) -- not auto-merged, verify manually"
litchi,600,litchi,KEEP,"REVIEW: word-containment overlap with ['chinese litchi', 'litchi blossom', 'pink litchi', 'red litchi'] -- not auto-merged, verify manually"
cloves,599,cloves,KEEP,"REVIEW: fuzzy-similar to 'clover' (sim=0.83); REVIEW: word-containment overlap with ['clove', 'madagascar cloves'] -- not auto-merged, verify manually"
bitter orange,598,bitter orange,KEEP,"REVIEW: word-containment overlap with ['orange'] -- not auto-merged, verify manually"
carnation,594,carnation,KEEP,"REVIEW: word-containment overlap with ['carnation leaves', 'indonesian carnation', 'white carnation'] -- not auto-merged, verify manually"
cassis,589,cassis,KEEP,"REVIEW: fuzzy-similar to 'cassia' (sim=0.83) -- not auto-merged, verify manually"
cedarwood,579,cedar,MERGE,compound substring containment
apricot,576,apricot,KEEP,"REVIEW: word-containment overlap with ['apricot blossom', 'apricot jam', 'chinese apricot', 'dried apricot', 'georgian apricot'] (+2 more) -- not auto-merged, verify manually"
suede,574,suede,KEEP,"REVIEW: word-containment overlap with ['white suede'] -- not auto-merged, verify manually"
sea notes,569,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
juniper,545,juniper,KEEP,"REVIEW: word-containment overlap with ['juniper berries', 'juniper berry'] -- not auto-merged, verify manually"
artemisia,538,artemisia,KEEP,
lotus,536,lotus,KEEP,"REVIEW: word-containment overlap with ['blue lotus', 'indian lotus', 'japanese pink lotus', 'lotus leaf', 'lotus petals'] (+3 more) -- not auto-merged, verify manually"
elemi,521,elemi,KEEP,"REVIEW: word-containment overlap with ['elemi resin'] -- not auto-merged, verify manually"
sugar,518,sugar,KEEP,"REVIEW: word-containment overlap with ['brown sugar', 'burnt sugar', 'citruses with sugar', 'palm sugar', 'powdered sugar'] (+6 more) -- not auto-merged, verify manually"
amberwood,515,amber,MERGE,compound substring containment
turkish rose,514,turkish rose,KEEP,"REVIEW: fuzzy-similar to 'turkish rose oil' (sim=0.86); REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
fig,492,fig,KEEP,"REVIEW: word-containment overlap with ['black fig', 'fig blossom', 'fig honey', 'fig leaf', 'fig milk'] (+3 more) -- not auto-merged, verify manually"
red berries,490,red berries,KEEP,"REVIEW: word-containment overlap with ['berries'] -- not auto-merged, verify manually"
damask rose,487,damask rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
milk,486,milk,KEEP,"REVIEW: word-containment overlap with ['almond milk', 'cherry milk', 'coconut milk', 'condensed milk', 'fig milk'] (+10 more) -- not auto-merged, verify manually"
cyclamen,484,cyclamen,KEEP,"REVIEW: word-containment overlap with ['red cyclamen', 'watery cyclamen', 'white cyclamen'] -- not auto-merged, verify manually"
tea,482,tea,KEEP,"REVIEW: word-containment overlap with ['assam tea', 'black tea', 'buckwheat tea', 'chinese black tea', 'chinese tea'] (+24 more) -- not auto-merged, verify manually"
styrax,471,styrax,KEEP,"REVIEW: fuzzy-similar to 'storax' (sim=0.83) -- not auto-merged, verify manually"
madagascar vanilla,468,madagascar vanilla,KEEP,"REVIEW: word-containment overlap with ['vanilla'] -- not auto-merged, verify manually"
honeysuckle,467,honeysuckle,KEEP,"REVIEW: word-containment overlap with ['honey'] -- not auto-merged, verify manually"
white flowers,466,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
amalfi lemon,464,amalfi lemon,KEEP,"REVIEW: word-containment overlap with ['lemon'] -- not auto-merged, verify manually"
melon,463,melon,KEEP,"REVIEW: word-containment overlap with ['bitter melon', 'frosted melon', 'honeydew melon', 'italian melon'] -- not auto-merged, verify manually"
cypriol oil or nagarmotha,462,cypriol oil or nagarmotha,KEEP,"REVIEW: word-containment overlap with ['cypriol', 'cypriol oil', 'nagarmotha'] -- not auto-merged, verify manually"
frangipani,460,frangipani,KEEP,
passionfruit,450,passionfruit,KEEP,
cacao,441,cacao,KEEP,"REVIEW: fuzzy-similar to 'curacao' (sim=0.83); REVIEW: word-containment overlap with ['cacao blossom', 'cacao butter', 'cacao pod'] -- not auto-merged, verify manually"
juniper berries,430,juniper berries,KEEP,"REVIEW: fuzzy-similar to 'juniper berry' (sim=0.86); REVIEW: word-containment overlap with ['berries', 'juniper'] -- not auto-merged, verify manually"
strawberry,430,strawberry,KEEP,"REVIEW: fuzzy-similar to 'strawberry jam' (sim=0.83); REVIEW: word-containment overlap with ['big strawberry', 'gariguette strawberry', 'strawberry fizz candy', 'strawberry flower', 'strawberry jam'] (+5 more) -- not auto-merged, verify manually"
clove,426,cloves,MERGE,fuzzy similarity 0.91
green apple,421,green apple,KEEP,"REVIEW: fuzzy-similar to 'green grape' (sim=0.82); REVIEW: word-containment overlap with ['apple'] -- not auto-merged, verify manually"
blackberry,415,blackberry,KEEP,"REVIEW: fuzzy-similar to 'black cherry' (sim=0.82); REVIEW: word-containment overlap with ['blackberry blossom', 'blackberry leaf'] -- not auto-merged, verify manually"
mango,411,mango,KEEP,"REVIEW: word-containment overlap with ['frosted mango', 'green mango', 'indian mango', 'mango blossom', 'mango tree'] (+1 more) -- not auto-merged, verify manually"
rhubarb,405,rhubarb,KEEP,"REVIEW: fuzzy-similar to 'rhuburb' (sim=0.86); REVIEW: word-containment overlap with ['rhubarb leaf'] -- not auto-merged, verify manually"
water lily,402,water lily,KEEP,"REVIEW: fuzzy-similar to 'white lily' (sim=0.80); REVIEW: word-containment overlap with ['lily', 'water'] -- not auto-merged, verify manually"
cherry,399,cherry,KEEP,"REVIEW: word-containment overlap with ['black cherry', 'burning cherry', 'cherry blossom', 'cherry extract', 'cherry jam'] (+10 more) -- not auto-merged, verify manually"
birch,392,birch,KEEP,"REVIEW: word-containment overlap with ['birch leaf', 'birch tar'] -- not auto-merged, verify manually"
haitian vetiver,392,haitian vetiver,KEEP,"REVIEW: word-containment overlap with ['vetiver'] -- not auto-merged, verify manually"
narcissus,380,narcissus,KEEP,"REVIEW: word-containment overlap with ['black narcissus', 'french narcissus', 'yellow narcissus'] -- not auto-merged, verify manually"
fruity notes,377,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
african orange flower,376,african orange flower,KEEP,"REVIEW: word-containment overlap with ['orange'] -- not auto-merged, verify manually"
blood orange,370,blood orange,KEEP,"REVIEW: word-containment overlap with ['blood', 'orange'] -- not auto-merged, verify manually"
red apple,370,red apple,KEEP,"REVIEW: fuzzy-similar to 'red maple' (sim=0.89); REVIEW: word-containment overlap with ['apple'] -- not auto-merged, verify manually"
yuzu,369,yuzu,KEEP,"REVIEW: word-containment overlap with ['yuzu flower'] -- not auto-merged, verify manually"
thyme,366,thyme,KEEP,"REVIEW: word-containment overlap with ['red thyme'] -- not auto-merged, verify manually"
cumin,365,cumin,KEEP,
bourbon vanilla,348,bourbon vanilla,KEEP,"REVIEW: word-containment overlap with ['vanilla'] -- not auto-merged, verify manually"
oud,340,agarwood,MERGE,parenthetical gloss in source data
mandarin,337,mandarin,KEEP,"REVIEW: word-containment overlap with ['blood mandarin', 'brazilian mandarin', 'calabrian mandarin', 'green mandarin', 'indian mandarin'] (+7 more) -- not auto-merged, verify manually"
calabrian bergamot,330,calabrian bergamot,KEEP,"REVIEW: word-containment overlap with ['bergamot'] -- not auto-merged, verify manually"
anise,317,anise,KEEP,"REVIEW: word-containment overlap with ['star anise'] -- not auto-merged, verify manually"
tiare flower,316,tiare flower,KEEP,"REVIEW: word-containment overlap with ['tiare'] -- not auto-merged, verify manually"
water notes,315,water notes,KEEP,"REVIEW: word-containment overlap with ['water'] -- not auto-merged, verify manually"
star anise,314,star anise,KEEP,"REVIEW: word-containment overlap with ['anise'] -- not auto-merged, verify manually"
angelica,309,angelica,KEEP,"REVIEW: word-containment overlap with ['angelica root'] -- not auto-merged, verify manually"
green tea,308,green tea,KEEP,"REVIEW: fuzzy-similar to 'green pear' (sim=0.84); REVIEW: word-containment overlap with ['tea'] -- not auto-merged, verify manually"
lilac,308,lilac,KEEP,"REVIEW: word-containment overlap with ['green lilac'] -- not auto-merged, verify manually"
immortelle,306,immortelle,KEEP,
powdery notes,302,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
papyrus,297,papyrus,KEEP,
hazelnut,291,hazelnut,KEEP,"REVIEW: word-containment overlap with ['hazelnut cocoa spread'] -- not auto-merged, verify manually"
salt,289,salt,KEEP,"REVIEW: word-containment overlap with ['pink himalayan sea salt', 'sea salt'] -- not auto-merged, verify manually"
oak,287,oak,KEEP,"REVIEW: word-containment overlap with ['oak leaves', 'oak moss', 'oak tree'] -- not auto-merged, verify manually"
whipped cream,284,whipped cream,KEEP,"REVIEW: word-containment overlap with ['cream'] -- not auto-merged, verify manually"
davana,282,davana,KEEP,
licorice,282,licorice,KEEP,"REVIEW: word-containment overlap with ['black licorice'] -- not auto-merged, verify manually"
opoponax,282,opoponax,KEEP,"REVIEW: word-containment overlap with ['somalian opoponax'] -- not auto-merged, verify manually"
green leaves,281,green leaves,KEEP,"REVIEW: fuzzy-similar to 'grape leaves' (sim=0.83) -- not auto-merged, verify manually"
watery notes,281,water notes,MERGE,fuzzy similarity 0.96
castoreum,274,castoreum,KEEP,
mate,274,mate,KEEP,
peru balsam,269,peru balsam,KEEP,
tonka,269,tonka bean,MERGE,compound substring containment
citron,267,citron,KEEP,"REVIEW: word-containment overlap with ['citron leaf'] -- not auto-merged, verify manually"
marigold,265,marigold,KEEP,"REVIEW: word-containment overlap with ['african marigold'] -- not auto-merged, verify manually"
watermelon,264,watermelon,KEEP,"REVIEW: word-containment overlap with ['water'] -- not auto-merged, verify manually"
spicy notes,263,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
atlas cedar,262,atlas cedar,KEEP,"REVIEW: word-containment overlap with ['cedar'] -- not auto-merged, verify manually"
balsam fir,262,balsam fir,KEEP,"REVIEW: word-containment overlap with ['fir'] -- not auto-merged, verify manually"
caraway,258,caraway,KEEP,
pomegranate,258,pomegranate,KEEP,"REVIEW: word-containment overlap with ['black pomegranate', 'pomegranate blossom', 'pomegranate seed'] -- not auto-merged, verify manually"
black tea,257,black tea,KEEP,"REVIEW: word-containment overlap with ['tea'] -- not auto-merged, verify manually"
chamomile,255,chamomile,KEEP,
oak moss,254,oakmoss,MERGE,fuzzy similarity 0.93
tolu balsam,252,tolu balsam,KEEP,
fig leaf,250,fig leaf,KEEP,"REVIEW: word-containment overlap with ['fig'] -- not auto-merged, verify manually"
palisander rosewood,249,palisander rosewood,KEEP,
civet,247,civet,KEEP,"REVIEW: fuzzy-similar to 'civetta' (sim=0.83); REVIEW: word-containment overlap with ['synthetic civet'] -- not auto-merged, verify manually"
egyptian jasmine,244,egyptian jasmine,KEEP,"REVIEW: word-containment overlap with ['jasmine'] -- not auto-merged, verify manually"
pink grapefruit,242,pink grapefruit,KEEP,"REVIEW: word-containment overlap with ['grapefruit'] -- not auto-merged, verify manually"
smoke,240,smoke,KEEP,"REVIEW: word-containment overlap with ['oud smoke'] -- not auto-merged, verify manually"
chocolate,236,chocolate,KEEP,"REVIEW: word-containment overlap with ['chocolate flower', 'chocolate fudge', 'chocolate sauce', 'chocolate truffle', 'dark chocolate'] (+6 more) -- not auto-merged, verify manually"
myrhh,231,myrhh,KEEP,"REVIEW: fuzzy-similar to 'myrrh' (sim=0.80) -- not auto-merged, verify manually"
white woods,231,white woods,KEEP,"REVIEW: fuzzy-similar to 'white oud' (sim=0.80); REVIEW: word-containment overlap with ['white wood'] -- not auto-merged, verify manually"
sicilian lemon,230,sicilian lemon,KEEP,"REVIEW: word-containment overlap with ['lemon'] -- not auto-merged, verify manually"
may rose,227,may rose,KEEP,"REVIEW: word-containment overlap with ['rose'] -- not auto-merged, verify manually"
clementine,226,clementine,KEEP,
coumarin,226,coumarin,KEEP,
hyacinth,225,hyacinth,KEEP,"REVIEW: word-containment overlap with ['blue hyacinth', 'pink hyacinth', 'water hyacinth', 'white hyacinth'] -- not auto-merged, verify manually"
red currant,225,red currant,KEEP,
brazilian rosewood,223,brazilian rosewood,KEEP,"REVIEW: fuzzy-similar to 'brazilian redwood' (sim=0.91) -- not auto-merged, verify manually"
white amber,222,white amber,KEEP,"REVIEW: word-containment overlap with ['amber'] -- not auto-merged, verify manually"
frankincense,219,frankincense,KEEP,
marshmallow,218,marshmallow,KEEP,
sweet notes,217,sweet notes,KEEP,
dark chocolate,215,dark chocolate,KEEP,"REVIEW: word-containment overlap with ['chocolate'] -- not auto-merged, verify manually"
indonesian patchouli leaf,212,indonesian patchouli leaf,KEEP,"REVIEW: word-containment overlap with ['patchouli'] -- not auto-merged, verify manually"
vanilla absolute,212,vanilla absolute,KEEP,"REVIEW: word-containment overlap with ['vanilla'] -- not auto-merged, verify manually"
eucalyptus,211,eucalyptus,KEEP,"REVIEW: word-containment overlap with ['eucalyptus blossom'] -- not auto-merged, verify manually"
green mandarin,211,green mandarin,KEEP,"REVIEW: word-containment overlap with ['mandarin'] -- not auto-merged, verify manually"
sea water,211,sea water,KEEP,"REVIEW: word-containment overlap with ['water'] -- not auto-merged, verify manually"
ozonic notes,210,,DROP_PLACEHOLDER,"category word, not a specific note (CLAUDE.md section 1)"
driftwood,204,driftwood,KEEP,
resins,202,resins,KEEP,"REVIEW: word-containment overlap with ['resin'] -- not auto-merged, verify manually"
coconut milk,200,coconut milk,KEEP,"REVIEW: word-containment overlap with ['coconut', 'milk'] -- not auto-merged, verify manually"
hedione,200,hedione,KEEP,
amyris,196,amyris,KEEP,
sea salt,196,sea salt,KEEP,"REVIEW: word-containment overlap with ['salt'] -- not auto-merged, verify manually"
nectarine,195,nectarine,KEEP,"REVIEW: fuzzy-similar to 'nectar' (sim=0.80); REVIEW: word-containment overlap with ['nectarine blossom', 'red nectarine'] -- not auto-merged, verify manually"
